key,verdict,screens,note
uploadComingSoon,slot-measured,,not pump-reachable; measured against its real slot width
uploadComingSoonToast,slot-measured,,not pump-reachable; measured against its real slot width
uploadFootnote,proven-fits,upload.screen,
uploadFootnoteRingtone,slot-measured,,not pump-reachable; measured against its real slot width
uploadKindLabel,proven-fits,upload.screen,
uploadKindRingtone,proven-fits,upload.screen,
uploadKindWallpaper,proven-fits,upload.screen,
uploadPickCategory,slot-measured,,not pump-reachable; measured against its real slot width
uploadPickFile,slot-measured,,not pump-reachable; measured against its real slot width
uploadPickZoneSub,proven-fits,upload.screen,
uploadPickZoneSubAudio,slot-measured,,not pump-reachable; measured against its real slot width
uploadPickZoneTitle,proven-fits,upload.screen,
uploadPickZoneTitleAudio,slot-measured,,not pump-reachable; measured against its real slot width
uploadRejectAudio,slot-measured,,not pump-reachable; measured against its real slot width
uploadRejectLive,slot-measured,,not pump-reachable; measured against its real slot width
uploadRejectStatic,slot-measured,,not pump-reachable; measured against its real slot width
uploadRightsCheckbox,proven-fits,upload.screen,
uploadScreenTitle,slot-measured,,not pump-reachable; measured against its real slot width
uploadShareMomentBody,proven-fits,refer.share_moment,
uploadShareMomentBodyRingtone,proven-fits,refer.share_moment.ringtone,
uploadShareMomentTitle,proven-fits,refer.share_moment refer.share_moment.ringtone,
uploadSpecNote,slot-measured,,not pump-reachable; measured against its real slot width
uploadSubmitCta,proven-fits,upload.screen,
uploadSuccessToast,slot-measured,,not pump-reachable; measured against its real slot width
uploadTitle,proven-fits,settings.screen upload.screen,
uploadTitleHint,proven-fits,upload.screen,headroom warning (<3% spare)
uploadTitleHintRingtone,slot-measured,,not pump-reachable; measured against its real slot width
uploadTitleLabel,slot-measured,,not pump-reachable; measured against its real slot width
uploadTitleOptional,slot-measured,,not pump-reachable; measured against its real slot width
uploadTooLarge,slot-measured,,not pump-reachable; measured against its real slot width
wallpaperShareCaption,system-ui,,rendered by the OS (share sheet / notification shade)
